deal_id,status,email_dominio,fonte_rd,utm_source_rd,tem_fbclid,tem_gclid,meetime,meetime_desde,classe
459456,won,gmail.com,www_bing_com,www.bing.com,0,0,s,2026-04-17T17:42:51.935Z,recuperado_rd_www_bing_com
459460,won,gmail.com,search_brave_com,search.brave.com,0,0,s,2026-07-09T02:40:40.576Z,recuperado_rd_search_brave_com
459471,won,outlook.com,google,www.google.com,0,0,s,2026-07-09T12:59:19.934Z,recuperado_rd_google
459477,won,gmail.com,cardapioweb_com,cardapioweb.com,0,0,s,2026-07-09T16:55:41.834Z,recuperado_rd_cardapioweb_com
459478,lost,gmail.com,direto,direto,0,0,s,2026-07-09T00:58:42.107Z,recuperado_rd_direto
459490,open,gmail.com,outros,,0,0,s,2026-07-09T17:59:11.111Z,recuperado_rd_outros
459503,won,INVALIDO,,,0,0,n,,sem_email
459507,won,,,,0,0,n,,sem_email
459512,won,icloud.com,direto,direto,0,0,s,2026-07-09T03:59:25.393Z,recuperado_rd_direto
459536,won,gmail.com,www_bing_com,www.bing.com,0,0,n,,recuperado_rd_www_bing_com
459556,won,gmail.com,google,www.google.com,0,0,s,2026-07-09T17:10:25.369Z,recuperado_rd_google
459586,lost,gmail.com,google,www.google.com,0,0,s,2026-06-14T01:31:20.877Z,recuperado_rd_google
459590,lost,gmail.com,,,0,0,s,2024-10-08T11:14:40.986Z,so_meetime
459597,open,gmail.com,google,www.google.com,0,0,s,2026-07-09T19:42:48.183Z,recuperado_rd_google
459646,won,gmail.com,,,0,0,n,,escuro
459731,lost,icloud.com,outros,,0,0,s,2026-06-25T14:30:16.888Z,recuperado_rd_outros
459734,won,gmail.com,google,www.google.com,0,0,s,2026-07-07T18:55:18.223Z,recuperado_rd_google
459761,won,gmail.com,,,0,0,n,,escuro
459792,won,outlook.com,,,0,0,n,,escuro
459901,won,gmail.com,,,0,0,n,,escuro
459905,lost,gmail.com,google,www.google.com.br,0,0,s,2026-06-26T04:21:05.892Z,recuperado_rd_google
459915,lost,INVALIDO,,,0,0,n,,sem_email
459957,lost,gmail.com,google,www.google.com,0,0,s,2026-07-10T02:42:16.936Z,recuperado_rd_google
460037,open,hotmail.com,google,www.google.com,0,0,s,2026-07-02T22:51:40.589Z,recuperado_rd_google
460038,won,gmail.com,direto,direto,0,0,s,2026-07-05T18:14:21.336Z,recuperado_rd_direto
460054,lost,hotmail.com,meta,meta,1,0,s,2026-07-11T14:48:28.195Z,recuperado_rd_meta
460058,open,gmail.com,direto,direto,0,0,s,2026-07-11T19:52:43.203Z,recuperado_rd_direto
460060,won,gmail.com,,,0,0,n,,escuro
460064,won,cardapioweb.com,,,0,0,n,,escuro
460084,won,gmail.com,direto,direto,0,0,s,2026-07-06T18:01:11.221Z,recuperado_rd_direto
460086,won,gmail.com,,,0,0,n,,escuro
460093,won,hotmail.com,l_wl_co,l.wl.co,0,0,s,2026-07-10T23:06:22.082Z,recuperado_rd_l_wl_co
460095,lost,,,,0,0,n,,sem_email
460107,lost,gmail.com,www_bing_com,www.bing.com,0,0,s,2026-07-12T20:47:59.116Z,recuperado_rd_www_bing_com
460117,lost,gmail.com,cardapioweb_com,cardapioweb.com,0,0,s,2026-07-11T17:29:21.866Z,recuperado_rd_cardapioweb_com
460171,lost,gmail.com,outros,,0,0,s,2025-03-28T12:51:15.281Z,recuperado_rd_outros
460175,won,gmail.com,,,0,0,n,,escuro
460177,won,gmail.com,cardapioweb_com,cardapioweb.com,0,0,s,2026-07-12T19:45:16.818Z,recuperado_rd_cardapioweb_com
460178,won,gmail.com,google,google,0,1,s,2026-07-13T17:06:21.346Z,recuperado_rd_google
460184,lost,gmail.com,,,0,0,s,2024-10-08T11:14:40.986Z,so_meetime
460186,won,hotmail.com,meta,facebook,0,0,s,2026-06-30T14:09:03.541Z,recuperado_rd_meta
460187,won,gmail.com,,,0,0,n,,escuro
460189,lost,gmail.com,direto,direto,0,0,s,2026-07-11T05:25:42.736Z,recuperado_rd_direto
460196,lost,INVALIDO,,,0,0,n,,sem_email
460208,lost,gmail.com,outros,,0,0,s,2026-07-12T12:17:20.997Z,recuperado_rd_outros
460209,won,gmail.com,seo,,0,0,s,2026-07-13T15:07:44.783Z,recuperado_rd_seo
460216,won,hotmail.com,cardapioweb_com,cardapioweb.com,0,0,s,2024-05-27T12:35:20.882Z,recuperado_rd_cardapioweb_com
460224,won,hotmail.com,,,0,0,n,,escuro
460229,open,sementedobem.net.br,google,google,0,1,s,2026-07-11T12:09:20.062Z,recuperado_rd_google
460234,open,gmail.com,cardapioweb_com,cardapioweb.com,0,0,s,2026-07-13T16:48:25.058Z,recuperado_rd_cardapioweb_com
460243,won,gmail.com,direto,direto,0,0,s,2026-07-08T13:18:35.165Z,recuperado_rd_direto
460253,won,gmail.com,direto,direto,0,0,s,2026-07-11T17:22:22.323Z,recuperado_rd_direto
460272,won,gmail.com,outros,,0,0,s,2026-02-25T20:34:03.403Z,recuperado_rd_outros
460273,won,gmail.com,,,0,0,n,,escuro
460277,won,gmail.com,cardapioweb_com,cardapioweb.com,0,0,s,2026-07-13T21:19:23.453Z,recuperado_rd_cardapioweb_com
460280,won,gmail.com,chatgpt_com,chatgpt.com,0,0,s,2026-05-21T05:35:44.187Z,recuperado_rd_chatgpt_com
460293,won,gmail.com,chatgpt_com,chatgpt.com,0,0,s,2026-07-13T18:35:17.694Z,recuperado_rd_chatgpt_com
460341,open,hotmail.com,meta,meta,1,0,s,2026-07-11T14:48:28.195Z,recuperado_rd_meta
460352,open,gmail.com,direto,direto,0,0,s,2026-07-14T12:18:14.005Z,recuperado_rd_direto
460354,lost,hotmail.com,google,www.google.com,0,0,s,2026-07-11T00:18:01.175Z,recuperado_rd_google
460366,lost,gmail.com,meta,meta,1,0,s,2026-07-10T13:34:36.856Z,recuperado_rd_meta
460378,won,gmail.com,direto,direto,0,0,s,2026-07-14T01:56:50.782Z,recuperado_rd_direto
460379,won,gmail.com,search_brave_com,search.brave.com,0,0,s,2026-07-13T13:39:47.156Z,recuperado_rd_search_brave_com
460380,won,gmail.com,cardapioweb_com,cardapioweb.com,0,0,s,2026-07-05T00:56:16.504Z,recuperado_rd_cardapioweb_com
